OTU ID	N01	N02	N03	N04	N05	N06	N07	N08	N10	N11	N12	N13	N14	N15	N16	taxonomy
e810c19cb320d505c1b38aebc7c603d8	0	16092	14	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
1f9c853d573f11edcd700b55c27fd577	0	5362	8901	8	0	0	7	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
aca380d3d06d653c6296f75364e4e6fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Proteobacteria      D_2__Alphaproteobacteria      D_3__SAR11 clade      D_4__Clade III      D_5__uncultured bacterium 
8f6a055a1c013500cdf2f661fd50f88f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Actinobacteria      D_2__Actinobacteria      D_3__Frankiales      D_4__Sporichthyaceae      D_5__hgcI clade 
fbc2c4e9b4c5b98803a2270a930be88d	6	0	0	0	2973	9	0	0	0	0	0	0	4841	31	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
94e9b5802f0ef1caf66c039c8727db51	0	0	0	0	0	0	3414	0	0	0	4055	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
e2da0f81429e8a0cae888ec7e0fbbbdb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
83cc21e44d76d209bd1c1b9d7964813c	48	0	0	9	0	0	0	0	6607	0	0	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Nostocales      D_4__Coleofasciculaceaeunassign
792c4058300b01b7a55255650151f3a2	0	0	0	0	0	0	0	0	0	0	0	0	0	5842	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
ae71bf7c99d3583a2d8841e5911c5716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Actinobacteria      D_2__Actinobacteria      D_3__Frankiales      D_4__Sporichthyaceae      D_5__hgcI clade 
b732a2be2d6c3aaa8755b74eaf80267b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Bacteroidetes      D_2__Bacteroidia      D_3__Cytophagales      D_4__Spirosomaceae      D_5__Pseudarcicella
5c688e5274f4b5fdb6723d9d024c64ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Actinobacteria      D_2__Actinobacteria      D_3__Frankiales      D_4__Sporichthyaceae      D_5__hgcI clade 
ce36cd192172c4d302cefd39c6c0e2bc	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Actinobacteria      D_2__Actinobacteria      D_3__Frankiales      D_4__Sporichthyaceae      D_5__hgcI clade 
0872ee96003e931447bfbda18e048d00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Actinobacteria      D_2__Actinobacteria      D_3__Frankiales      D_4__Sporichthyaceae      D_5__hgcI clade 
4232edf1fc65dd579d491caeafb49153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Proteobacteria      D_2__Gammaproteobacteria      D_3__Steroidobacterales      D_4__Steroidobacteraceae      D_5__Steroidobacter
cd02d7da122462321c3c7e8c545f0445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Planctomycetes      D_2__Phycisphaerae      D_3__Phycisphaerales      D_4__Phycisphaeraceae      D_5__CL500-3 
9161bce7aeca9b553d901feb3e55c61c	5	0	0	3445	17	0	88	0	0	0	100	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
975a41f9cf1caae7c95d74a6dea464c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Actinobacteria      D_2__Acidimicrobiia      D_3__Microtrichales      D_4__Ilumatobacteraceae      D_5__CL500-29 marine group 
068678cf37cd00e22574581e32e97d8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Bacteroidetes      D_2__Bacteroidia      D_3__Sphingobacteriales      D_4__NS11-12 marine group      D_5__uncultured bacterium 
32169248eb595dd383ef06a24f89c764	0	3019	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Proteobacteria      D_2__Alphaproteobacteria      D_3__Rickettsiales      D_4__Mitochondriaunassign
5c58ad86dbfebfade55da92dc4f3a3d2	2907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Nostocalesunassignunassign
6b8444c8e461e9b8283b3e246439641f	0	0	0	2873	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria      D_1__Cyanobacteria      D_2__Oxyphotobacteria      D_3__Chloroplastunassignunassign
